Events: 16 | Duration: 402 | Distance: 550
Pressed Time: 2549, Press Duration: 402
Pressed Time: 3054, Press Duration: 402
Pressed Time: 3697, Press Duration: 402
Pressed Time: 4334, Press Duration: 402
Pressed Time: 4977, Press Duration: 402
Pressed Time: 5650, Press Duration: 402
Pressed Time: 6324, Press Duration: 402
Pressed Time: 6935, Press Duration: 402
Pressed Time: 7575, Press Duration: 402
Pressed Time: 8278, Press Duration: 402
Pressed Time: 8915, Press Duration: 402
Pressed Time: 9555, Press Duration: 402
Pressed Time: 10191, Press Duration: 402
Pressed Time: 10831, Press Duration: 402
Pressed Time: 11466, Press Duration: 402
Pressed Time: 12101, Press Duration: 402
Events: 55 | Duration: 67 | Distance: 150
Pressed Time: 12734, Press Duration: 67
Pressed Time: 12903, Press Duration: 67
Pressed Time: 13071, Press Duration: 67
Pressed Time: 13206, Press Duration: 67
Pressed Time: 13343, Press Duration: 67
Pressed Time: 13476, Press Duration: 67
Pressed Time: 13646, Press Duration: 67
Pressed Time: 13779, Press Duration: 67
Pressed Time: 13881, Press Duration: 67
Pressed Time: 14015, Press Duration: 67
Pressed Time: 14150, Press Duration: 67
Pressed Time: 14284, Press Duration: 67
Pressed Time: 14420, Press Duration: 67
Pressed Time: 14554, Press Duration: 67
Pressed Time: 14690, Press Duration: 67
Pressed Time: 14825, Press Duration: 67
Pressed Time: 14958, Press Duration: 67
Pressed Time: 15094, Press Duration: 67
Pressed Time: 15230, Press Duration: 67
Pressed Time: 15400, Press Duration: 67
Pressed Time: 15536, Press Duration: 67
Pressed Time: 15705, Press Duration: 67
Pressed Time: 15838, Press Duration: 67
Pressed Time: 15973, Press Duration: 67
Pressed Time: 16107, Press Duration: 67
Pressed Time: 16242, Press Duration: 67
Pressed Time: 16407, Press Duration: 67
Pressed Time: 16542, Press Duration: 67
Pressed Time: 16678, Press Duration: 67
Pressed Time: 16812, Press Duration: 67
Pressed Time: 16947, Press Duration: 67
Pressed Time: 17080, Press Duration: 67
Pressed Time: 17250, Press Duration: 67
Pressed Time: 17386, Press Duration: 67
Pressed Time: 17520, Press Duration: 67
Pressed Time: 17653, Press Duration: 67
Pressed Time: 17789, Press Duration: 67
Pressed Time: 17922, Press Duration: 67
Pressed Time: 18057, Press Duration: 67
Pressed Time: 18191, Press Duration: 67
Pressed Time: 18325, Press Duration: 67
Pressed Time: 18460, Press Duration: 67
Pressed Time: 18630, Press Duration: 67
Pressed Time: 18763, Press Duration: 67
Pressed Time: 18898, Press Duration: 67
Pressed Time: 19031, Press Duration: 67
Pressed Time: 19166, Press Duration: 67
Pressed Time: 19334, Press Duration: 67
Pressed Time: 19470, Press Duration: 67
Pressed Time: 19606, Press Duration: 67
Pressed Time: 19742, Press Duration: 67
Pressed Time: 19844, Press Duration: 67
Pressed Time: 20013, Press Duration: 67
Pressed Time: 20182, Press Duration: 67
Pressed Time: 20282, Press Duration: 201
Pressed Time: 20548, Press Duration: 67
Events: 4 | Duration: 440 | Distance: 550
Pressed Time: 20649, Press Duration: 440
Pressed Time: 21221, Press Duration: 440  # 400 - 500
Pressed Time: 21861, Press Duration: 440
Pressed Time: 22561, Press Duration: 440
Events: 53 | Duration: 67 | Distance: 150
Pressed Time: 23163, Press Duration: 67
Pressed Time: 23298, Press Duration: 67
Pressed Time: 23464, Press Duration: 67
Pressed Time: 23599, Press Duration: 67
Pressed Time: 23732, Press Duration: 67
Pressed Time: 23898, Press Duration: 67
Pressed Time: 24033, Press Duration: 67
Pressed Time: 24166, Press Duration: 67
Pressed Time: 24300, Press Duration: 67
Pressed Time: 24469, Press Duration: 67
Pressed Time: 24604, Press Duration: 67
Pressed Time: 24738, Press Duration: 67
Pressed Time: 24904, Press Duration: 67
Pressed Time: 25038, Press Duration: 67
Pressed Time: 25171, Press Duration: 67
Pressed Time: 25338, Press Duration: 67
Pressed Time: 25473, Press Duration: 67
Pressed Time: 25607, Press Duration: 67
Pressed Time: 25741, Press Duration: 67
Pressed Time: 25876, Press Duration: 67
Pressed Time: 26011, Press Duration: 67
Pressed Time: 26146, Press Duration: 67
Pressed Time: 26277, Press Duration: 67
Pressed Time: 26411, Press Duration: 67
Pressed Time: 26578, Press Duration: 67
Pressed Time: 26746, Press Duration: 67
Pressed Time: 26881, Press Duration: 67
Pressed Time: 27016, Press Duration: 67
Pressed Time: 27150, Press Duration: 67
Pressed Time: 27284, Press Duration: 67
Pressed Time: 27452, Press Duration: 67
Pressed Time: 27585, Press Duration: 67
Pressed Time: 27721, Press Duration: 67
Pressed Time: 27891, Press Duration: 67
Pressed Time: 28027, Press Duration: 67
Pressed Time: 28194, Press Duration: 67
Pressed Time: 28329, Press Duration: 67
Pressed Time: 28465, Press Duration: 67
Pressed Time: 28600, Press Duration: 67
Pressed Time: 28736, Press Duration: 67
Pressed Time: 28906, Press Duration: 67
Pressed Time: 29039, Press Duration: 67
Pressed Time: 29173, Press Duration: 67
Pressed Time: 29342, Press Duration: 67
Pressed Time: 29477, Press Duration: 67
Pressed Time: 29645, Press Duration: 67
Pressed Time: 29780, Press Duration: 67
Pressed Time: 29913, Press Duration: 67
Pressed Time: 30047, Press Duration: 67
Pressed Time: 30183, Press Duration: 67
Pressed Time: 30350, Press Duration: 67
Pressed Time: 30517, Press Duration: 67
Pressed Time: 30653, Press Duration: 67
Pressed Time: 30788, Press Duration: 67
Events: 5 | Duration: 440 | Distance: 550
Pressed Time: 30956, Press Duration: 440
Pressed Time: 31592, Press Duration: 440
Pressed Time: 32261, Press Duration: 440
Pressed Time: 32930, Press Duration: 700
